#no. particle1         E        px        py        pz particle2         E        px        py        pz
86	tau lepton	 67.1895	-29.0251	-12.1783	-59.3338	tau lepton	 22.8674	-16.9253	-1.39419	-15.2103
87	 b quark	 54.4373	 12.0985	-5.73087	-52.5997	 b quark	 29.4888	 17.9002	 -10.008	-20.7736
88	 b quark	 47.2742	 -46.326	-5.74037	-6.19123	 b quark	 99.8483	-47.8756	-86.4886	-13.4112
89	 b quark	 76.4196	 65.1172	-7.71607	 39.0217	 b quark	 5.98146	 2.16186	-1.01656	 3.54942
90	 b quark	 14.1692	 8.49346	 -5.1754	 9.18528	 b quark	 59.5644	 0.11879	-1.58734	 59.3962
91	 b quark	 62.5511	-31.7121	-53.7464	-0.910599	 b quark	  22.047	 -12.526	-17.6348	-0.84493
92	 b quark	 43.6531	 11.5282	 18.3915	-37.6427	 b quark	 72.0335	 34.3548	  40.724	-48.2976
93	 b quark	 56.7783	 11.9874	 49.4536	-24.8385	 b quark	 31.8702	   19.43	 8.05721	-23.5753
94	 W boson	 100.688	 16.4528	-54.9903	-19.5594	 W boson	 83.5781	0.308307	-17.6997	-14.5307
95	 b quark	 85.8181	 60.3212	-13.5237	-59.3779	 b quark	 51.2596	 5.23151	-30.7511	-40.4609
96	 b quark	 50.3777	-5.00964	-12.5344	-48.3553	 b quark	 8.47622	-0.198112	-6.44503	-3.57718
97	 b quark	 24.7722	-9.48291	-19.3362	 11.5054	 b quark	 78.8255	-61.4866	-35.4543	 34.0349
98	 Z boson	 103.235	 35.1118	-23.1801	-23.9172	 Z boson	  98.931	 28.6252	 -22.904	-11.3175
99	 b quark	 74.2316	-23.2116	 19.0904	-67.7468	 b quark	 64.5473	-25.2005	  59.182	-3.36219
100	tau lepton	 53.1199	-35.0255	-19.9767	 34.5357	tau lepton	 56.8858	 -56.393	-5.15991	 5.10266
101	 W boson	 89.1534	-38.2437	0.970016	 -4.9009	 W boson	 103.087	-55.9992	 9.16416	-30.7628
102	 W boson	 89.6239	-2.42749	-9.90263	 38.3105	 W boson	 99.8248	-3.98474	-59.0515	 1.12069
103	 b quark	 51.3779	 48.9557	 5.24599	-14.0725	 b quark	 59.2859	 19.6248	 39.3538	 -39.541
104	 b quark	 44.0302	-9.67977	-18.2938	 38.6371	 b quark	 68.7408	-3.41906	-36.7816	 57.8209
105	 Z boson	 111.225	 40.2898	 33.2116	-36.4628	 Z boson	  117.02	 54.5665	 43.4771	-22.5966
106	 b quark	  13.233	 3.70383	 -7.0419	 9.71246	 b quark	 48.5616	 10.8009	-16.5408	 44.1645
107	 W boson	 105.263	 24.0739	-42.6371	 47.1382	 W boson	 93.9432	 1.41625	-46.0902	 15.4343
108	 b quark	 38.7814	-7.01734	 29.4754	-23.8428	 b quark	 82.3275	-17.5431	 59.1234	-54.3784
109	 b quark	 50.8191	 48.1148	-0.945941	 15.7856	 b quark	  87.955	 17.2595	-32.4536	 79.7966
110	 b quark	 18.2175	0.829053	-0.0101769	 17.7121	 b quark	 90.3174	 80.4431	-0.733423	 40.8428
111	 b quark	 60.3712	 58.5279	-11.3046	 8.59677	 b quark	 13.7962	 12.2879	-2.80102	 3.74507
112	 b quark	 40.0563	 20.5145	 7.56707	-33.3005	 b quark	 17.1375	  4.9632	 15.0111	-5.12379
113	 b quark	 56.6168	 36.3701	 39.5662	-17.3125	 b quark	 51.0838	 38.8267	 29.6672	-14.2977
114	 W boson	 97.4115	 42.7465	 23.8296	-25.1614	 W boson	 86.1175	0.632454	 30.8639	-1.56918
115	 b quark	  25.476	  16.939	-0.421303	 18.5592	 b quark	  29.763	 0.89974	-16.4048	  24.463
116	 b quark	 38.0806	 31.2435	-11.1904	 -18.201	 b quark	 41.5443	 19.5838	 -2.3133	 -36.326
117	 b quark	 28.9255	-9.85101	 23.3643	  13.277	 b quark	 69.2902	-5.92507	 67.8884	 11.8207
118	 b quark	 33.1232	 17.7699	-27.2281	-4.74672	 b quark	 74.8719	 61.8282	-42.0185	-0.226674
119	 b quark	 35.3609	  12.476	 26.1372	-19.8524	 b quark	 47.7753	 13.2408	 44.3235	-11.1857
120	 W boson	 83.4849	-20.5116	-7.66966	-5.42124	 W boson	    98.4	-54.6874	-15.1952	-0.428168
121	 b quark	 73.5167	 28.7935	-43.2821	-51.8154	 b quark	 47.1867	 8.98469	-15.4805	-43.4596
122	 b quark	 66.3043	 39.3479	-18.0302	-50.0543	 b quark	 42.7358	 33.0834	 -25.292	-8.64171
123	 b quark	 26.2973	-14.7137	 4.32794	-20.9488	 b quark	 13.3074	-12.4611	 1.91691	-0.813811
124	 b quark	 35.0137	 -17.543	 24.9438	 16.6895	 b quark	 74.4852	-6.03357	 60.8489	  42.327
125	 b quark	 66.7602	-35.6486	 54.9651	-12.1435	 b quark	 52.4148	-45.2517	 17.6988	-19.2062
126	 b quark	 65.4425	 15.6457	 19.4762	-60.3418	 b quark	   26.84	 16.6572	 15.9434	-13.0867
127	 b quark	 40.7711	  4.8658	-1.19388	-40.2456	 b quark	 69.5882	 37.3555	-2.48514	-58.5101
128	tau lepton	 24.3818	-24.2776	-1.34604	0.315862	tau lepton	 75.2215	-73.8161	-14.2511	  1.7903
129	 b quark	 48.0975	 32.2011	-33.3723	 12.0533	 b quark	 45.8369	 27.9153	 -33.548	 13.3724
130	tau lepton	 85.6349	-3.42561	-72.4403	-45.5065	tau lepton	 31.4697	-1.26795	-22.5987	-21.7916
131	 b quark	 70.3382	  40.221	  56.599	-10.4316	 b quark	 15.8901	 11.0848	 3.34008	-10.0495
132	 Z boson	 99.1364	 35.5519	-1.20204	 15.7285	 Z boson	 107.086	 55.3077	-1.02642	 9.60229
133	 b quark	 34.1973	 18.1823	-25.5395	-13.0046	 b quark	 56.6567	 17.9792	-0.671063	-53.5613
134	 b quark	 16.0873	 -3.0922	-12.7299	  8.3498	 b quark	 100.059	-80.1655	-49.6445	 33.2147
135	 W boson	 86.5702	 6.39089	-16.6076	-26.7762	 W boson	 99.8658	 2.57927	-14.9117	-57.3008
136	 b quark	  9.9957	-0.986402	 6.42806	-6.33629	 b quark	 49.5517	-0.00447533	 48.3888	-9.81912
137	 W boson	 93.6093	 9.44017	0.0747962	 47.0404	 W boson	 106.521	 69.6144	 5.09443	 3.72941
138	 b quark	  7.7624	 3.93048	-4.76626	-2.14863	 b quark	 75.7743	 52.8061	-2.10635	-54.1419
